image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude
,Varsity Field,Albany,NY,Albany,America East,500,c.1980,[1],42.67857009999999,-73.82374450000002
,Binghamton Baseball Stadium Complex,Vestal,NY,Binghamton,America East,1906,2022,[2],42.0937917,-75.9746098
,Conaty Park,Smithfield,RI,Bryant,America East,500,2012,,41.925608,-71.5385642
,Mahaney Diamond,Orono,ME,Maine,America East,4400,Early 1980s,[3],44.9049299,-68.6697723
,Jim Hynes Stadium,Union Township,NJ,NJIT,America East,700,2000,[4],40.6807905,-74.2401254
,Edward A. LeLacheur Park,Lowell,MA,UMass Lowell,America East,4767,1998,[5],42.6536112,-71.31783030000001
,The Baseball Factory Field at UMBC,Catonsville,MD,UMBC,America East,1000,N/A(Renovated 2004),[6],39.2495837,-76.7085788
,Robert and Mariam Hayes Stadium,Charlotte,NC,Charlotte,The American,4100,1994,,35.3081149,-80.7390641
,Clark–LeClair Stadium,Greenville,NC,East Carolina,The American,5000,2005,,35.5929511,-77.3671406
,FAU Baseball Stadium,Boca Raton,FL,Florida Atlantic,The American,2000,1991,,26.3702709,-80.1095751
,FedExPark,Memphis,TN,Memphis,The American,2000,1972,,35.1021359,-89.9255848
,Reckling Park,Houston,TX,Rice,The American,6193,2000,,29.7132708,-95.404089
,USF Baseball Stadium,Tampa,FL,South Florida,The American,3211,2011,,28.059087,-82.4041421
,Greer Field at Turchin Stadium,New Orleans,LA,Tulane,The American,5000,1991(destroyed in 2005 by Hurricane Katrina; rebuilt and reopened in 2007),,29.9462748,-90.1155605
,Jerry D. Young Memorial Field,Birmingham,AL,UAB,The American,1000,1984,,33.4984935,-86.8105794
,Roadrunner Field,San Antonio,TX,UTSA,The American,800,1993,,29.5837677,-98.6226913
,Eck Stadium,Wichita,KS,Wichita State,The American,8153,1978(Renovated 2009),[7],37.721955,-97.2881177
,Raymond C. Hand Park,Clarksville,TN,Austin Peay,ASUN,"1,000+",1970(Several renovations),[8],36.5380536,-87.3562753
,Knights Field,Louisville,KY,Bellarmine,ASUN,—,1954,,38.2168873,-85.7056446
,Bear Stadium,Conway,AR,Central Arkansas,ASUN,1000,2009,,35.0832533,-92.459899
,Turkey Hughes Field,Richmond,KY,Eastern Kentucky,ASUN,500,1960s(Renovated 2009),[9],37.7361549,-84.2998257
,Swanson Stadium,Fort Myers,FL,Florida Gulf Coast,ASUN,1500,2004,,26.4709503,-81.7632771
,John Sessions Stadium,Jacksonville,FL,Jacksonville,ASUN,3000,—,,30.3514645,-81.6074572
,Fred Stillwell Stadium,Kennesaw,GA,Kennesaw State,ASUN,1200,1984,,34.0337869,-84.58168599999999
,Ken Dugan Field at Stephen Lee Marsh Stadium,Nashville,TN,Lipscomb,ASUN,1500,1991,,36.102381,-86.7987828
,Mike D. Lane Field,Florence,AL,North Alabama,ASUN,—,1984(?),[10],34.8097585,-87.6853515
,Harmon Stadium,Jacksonville,FL,North Florida,ASUN,1000,1993,,30.2750305,-81.5083789
,Tuckaseegee Dream Fields,Charlotte,NC,Queens,ASUN,—,—,,35.2458229,-80.9540557
,Melching Field at Conrad Park,DeLand,FL,Stetson,ASUN,2500,1999,,29.0198191,-81.3018907
,Eddie Pellagrini Diamond,Boston,MA,Boston College,Atlantic Coast,2500,2018,,42.3439019,-71.1597951
,Doug Kingsmore Stadium,Clemson,SC,Clemson,Atlantic Coast,6217,1970,,34.6787794,-82.8493165
,Jack Coombs Field,Durham,NC,Duke,Atlantic Coast,2000,1931,,35.9980856,-78.94423610000001
,Mike Martin Field at Dick Howser Stadium,Tallahassee,FL,Florida State,Atlantic Coast,6700,1983,,30.4405434,-84.3040448
,Russ Chandler Stadium,Atlanta,GA,Georgia Tech,Atlantic Coast,4157,1930,,33.777639,-84.3945457
,Jim Patterson Stadium,Louisville,KY,Louisville,Atlantic Coast,4000,2005,,38.2055156,-85.7628651
,Alex Rodriguez Park at Mark Light Field,Coral Gables,FL,Miami (FL),Atlantic Coast,5000,1973,,25.7120599,-80.2822951
,Boshamer Stadium,Chapel Hill,NC,North Carolina,Atlantic Coast,5000,1972,,35.9063145,-79.0427441
,Doak Field,Raleigh,NC,North Carolina State,Atlantic Coast,3000,1966,,35.7873196,-78.67968619999999
,Frank Eck Stadium,Notre Dame,IN,Notre Dame,Atlantic Coast,2500,1994,,41.69628489999999,-86.2280772
,Charles L. Cost Field,Pittsburgh,PA,Pittsburgh,Atlantic Coast,900,2011,,40.4453267,-79.96617499999999
,Davenport Field at Disharoon Park,Charlottesville,VA,Virginia,Atlantic Coast,5500,2000,,38.0457546,-78.513342
,English Field,Blacksburg,VA,Virginia Tech,Atlantic Coast,4000,1989,,37.217839,-80.4233407
,David F. Couch Ballpark,Winston-Salem,NC,Wake Forest,Atlantic Coast,3823,1956,,36.1298712,-80.25185549999999
,T. Henry Wilson Jr. Field,Davidson,NC,Davidson,Atlantic 10,700,1967,,35.5042846,-80.84096699999999
,Woerner Field,Dayton,OH,Dayton,Atlantic 10,500,2004,,39.7346059,-84.203193
,Jim Houlihan Park at Jack Coffey Field,Bronx,NY,Fordham,Atlantic 10,500,2005,,40.8610552,-73.8826819
,Spuhler Field,Fairfax,VA,George Mason,Atlantic 10,900,1986,,38.8345236,-77.3179345
,Barcroft Park,Arlington,VA,George Washington,Atlantic 10,500,1993,,38.8487929,-77.1019917
,Earl Lorden Field,Amherst,MA,Massachusetts,Atlantic 10,1000,1971,,42.3904634,-72.53522509999999
,Bill Beck Field,Kingston,RI,Rhode Island,Atlantic 10,1000,1966,,41.4853993,-71.5379962
,Malcolm U. Pitt Field,Richmond,VA,Richmond,Atlantic 10,600,—,,37.5792523,-77.5409492
,Fred Handler Park,St. Bonaventure,NY,St. Bonaventure,Atlantic 10,500,1958,,42.0787798,-78.4863931
,Smithson Field,Merion Station,PA,Saint Joseph's,Atlantic 10,400,2012,,39.9957095,-75.2454395
,Billiken Sports Center,St. Louis,MO,Saint Louis,Atlantic 10,500,1990,,38.633037,-90.2280031
,The Diamond,Richmond,VA,VCU,Atlantic 10,12134,1985,,37.5717224,-77.4632055
,Bulldog Park,Indianapolis,IN,Butler,Big East,500,—,,39.846334,-86.16847899999999
,TD Ameritrade Park Omaha,Omaha,NE,Creighton,Big East,24505,2011,,41.2667611,-95.9314596
,Shirley Povich Field,Bethesda,MD,Georgetown,Big East,1500,2000,,39.0310113,-77.1509487
,"Mike Sheppard, Sr. Stadium at Owen T. Carroll Field",South Orange,NJ,Seton Hall,Big East,261,1907,,40.7406714,-74.2481949
,Jack Kaiser Stadium,Queens,NY,St. John's,Big East,3500,2000,,40.7236818,-73.79149869999999
,Elliot Ballpark,Storrs,CT,UConn,Big East,"1,500[11]",2021[a],,41.8006501,-72.2536518
,Villanova Ballpark at Plymouth,Plymouth Meeting,PA,Villanova,Big East,1500,2003,,40.1236506,-75.28940349999999
,J. Page Hayden Field,Cincinnati,OH,Xavier,Big East,500,1920s,,39.1499423,-84.47648939999999
,Buccaneer Ballpark,North Charleston,SC,Charleston Southern,Big South,1500,—,,32.9836917,-80.06701629999999
,John Henry Moss Stadium,Boiling Springs,NC,Gardner-Webb,Big South,700,2010,,35.24377,-81.669082
,George S. Erath Field at Coy O. Williard Baseball Stadium,High Point,NC,High Point,Big South,550,2007,,35.9751648,-79.9958441
,Bolding Stadium,Farmville,VA,Longwood,Big South,500,1994,,37.2938185,-78.39613179999999
,Presbyterian Baseball Complex,Clinton,SC,Presbyterian,Big South,500,1988,,34.4611425,-81.8640922
,Radford Baseball Stadium,Radford,VA,Radford,Big South,700,1986,,37.1367865,-80.53917539999999
,Greenwood Baseball Field,Asheville,NC,UNC Asheville,Big South,300,1988,,35.6168426,-82.57071549999999
,Cleveland S. Harley Baseball Park,Spartanburg,SC,USC Upstate,Big South,500,2004,,35.0023536,-81.9653883
,Winthrop Ballpark,Rock Hill,SC,Winthrop,Big South,1800,2007,,34.9460337,-81.01941169999999
,Illinois Field,Champaign,IL,Illinois,Big Ten,3000,1988,,40.0971217,-88.2294574
,Bart Kaufman Field,Bloomington,IN,Indiana,Big Ten,2500,2013,,39.1848834,-86.5223836
,Duane Banks Field,Iowa City,IA,Iowa,Big Ten,3000,1974,,41.663778,-91.5546047
,Shipley Field,College Park,MD,Maryland,Big Ten,2500,1965,,38.9894267,-76.9443211
,Ray Fisher Stadium,Ann Arbor,MI,Michigan,Big Ten,4000,1923,,42.26786209999999,-83.7420671
,Drayton McLane Baseball Stadium at John H. Kobs Field,East Lansing,MI,Michigan State,Big Ten,4600,1902,,42.7323431,-84.4884579
,Siebert Field,Minneapolis,MN,Minnesota,Big Ten,1500,1971,,44.98218970000001,-93.22924549999999
,Haymarket Park,Lincoln,NE,Nebraska,Big Ten,8500,2001,,40.822845,-96.7131624
,Rocky Miller Park,Evanston,IL,Northwestern,Big Ten,600,1943,,42.0680471,-87.69251799999999
,Bill Davis Stadium,Columbus,OH,Ohio State,Big Ten,4450,1997,,40.0099182,-83.0259088
,Medlar Field at Lubrano Park,University Park,PA,Penn State,Big Ten,5406,2006,,40.812278,-77.85242459999999
,Alexander Field,West Lafayette,IN,Purdue,Big Ten,1500,2013,,40.4372183,-86.9421323
,Bainton Field,Piscataway,NJ,Rutgers,Big Ten,1500,2007,,40.5276451,-74.4424057
,Baylor Ballpark,Waco,TX,Baylor,Big 12,5000,1999,,31.5509941,-97.1075414
,Larry H. Miller Field,Provo,UT,BYU,Big 12,2710,2001,,40.2547328,-111.6513737
,UC Baseball Stadium,Cincinnati,OH,Cincinnati,Big 12,3085,2004,[12],39.1302033,-84.5137747
,Schroeder Park,Houston,TX,Houston,Big 12,5000,1995,,29.7267987,-95.3453574
,Hoglund Ballpark,Lawrence,KS,Kansas,Big 12,2500,1958,,38.9527426,-95.252621
,Tointon Family Stadium,Manhattan,KS,Kansas State,Big 12,2331,1961,,39.1992239,-96.59697349999999
,L. Dale Mitchell Baseball Park,Norman,OK,Oklahoma,Big 12,3180,1982,,35.1908778,-97.4460294
,O'Brate Stadium,Stillwater,OK,Oklahoma State,Big 12,"3,500[13]",2021[a],,36.1310616,-97.06874529999999
,UFCU Disch–Falk Field,Austin,TX,Texas,Big 12,7373,1975,[14],30.2799584,-97.7261606
,Lupton Stadium,Fort Worth,TX,TCU,Big 12,4500,2003,,32.7027992,-97.3721802
,Dan Law Field at Rip Griffin Park,Lubbock,TX,Texas Tech,Big 12,4368,1926(Renovated 2012),,33.5884529,-101.8765955
,John Euliano Park,Orlando,FL,UCF,Big 12,3600,2001,,28.6090475,-81.1953991
,Monongalia County Ballpark,Granville,WV,West Virginia,Big 12,3500,2015,,39.6436986,-79.9958649
,Robin Baggett Stadium,San Luis Obispo,CA,Cal Poly,Big West,1534,2001,,35.3069122,-120.6651058
,Hardt Field,Bakersfield,CA,Cal State Bakersfield,Big West,900,2009,,35.3473891,-119.1076226
,Goodwin Field,Fullerton,CA,Cal State Fullerton,Big West,3500,1992,,33.887139,-117.8853105
,Matador Field,Northridge,CA,Cal State Northridge,Big West,1200,1961,,34.2452183,-118.5270635
,Les Murakami Stadium,Honolulu,HI,Hawaii,Big West,4312,1984,,21.2932221,-157.8160896
,Blair Field,Long Beach,CA,Long Beach State,Big West,3283,1958,,33.7783672,-118.1388338
,Dobbins Stadium,Davis,CA,UC Davis,Big West,3500,1986,,38.5452508,-121.7482471
,Cicerone Field at Anteater Ballpark,Irvine,CA,UC Irvine,Big West,2900,2002,,33.65123700000001,-117.8479574
,Riverside Sports Complex,Riverside,CA,UC Riverside,Big West,2500,—,,33.9822596,-117.3329542
,Triton Ballpark,La Jolla,CA,UC San Diego,Big West,1200,—,,32.8809124,-117.2261784
,Caesar Uyesaka Stadium,Santa Barbara,CA,UC Santa Barbara,Big West,1000,1964,,34.4190504,-119.8523306
,Jim Perry Stadium,Buies Creek,NC,Campbell,Colonial Athletic,630,2013,,35.409888,-78.73516269999999
,CofC Baseball Stadium at Patriot's Point,Mount Pleasant,SC,Charleston,Colonial Athletic,2000,2001,,32.7952232,-79.9022674
,Bob Hannah Stadium,Newark,DE,Delaware,Colonial Athletic,1300,2000,,39.6634961,-75.7475911
,Walter C. Latham Park,Elon,NC,Elon,Colonial Athletic,2000,2001,,36.1085926,-79.50734240000001
,University Field,Hempstead,NY,Hofstra,Colonial Athletic,400,2000,,40.7206766,-73.5986101
,Monmouth Baseball Field,West Long Branch,NJ,Monmouth,Colonial Athletic,—,—,,40.2785644,-74.0093541
,World War Memorial Stadium,Greensboro,NC,North Carolina A&T,Colonial Athletic,7500,1928,,36.0796511,-79.77833439999999
,Parsons Field,Brookline,MA,Northeastern,Colonial Athletic,3000,1933,,42.33735859999999,-71.114047
,Joe Nathan Field,Stony Brook,NY,Stony Brook,Colonial Athletic,1000,1967(Renovated 2011),[15],40.9235662,-73.12233789999999
,John B. Schuerholz Baseball Complex,Towson,MD,Towson,Colonial Athletic,500,2001,,39.3949845,-76.6137818
,Brooks Field,Wilmington,NC,UNC Wilmington,Colonial Athletic,3000,1989,,34.2215559,-77.8733336
